version,step,normalized_epoch,successes,n,success_rate,ci_low,ci_high,dataset_episodes,dataset_label,data_status,include_heatmap,session_path
v021,3619,2.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_003619_ah_10_pr_checkpoint_sweep_20260528_140143
v021,7238,4.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_007238_ah_10_pr_checkpoint_sweep_20260528_141939
v021,10857,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_010857_ah_10_pr_checkpoint_sweep_20260528_143147
v021,14476,8.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_014476_ah_10_pr_checkpoint_sweep_20260528_144515
v021,18095,10.0,0,20,0.0,0.0,0.16113012549493322,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_018095_ah_10_pr_checkpoint_sweep_20260528_150735
v021,21716,12.0,2,20,0.1,0.027865893984153206,0.30103820641179335,48,1/16 subsample (48 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v021/eval_sessions/chkpt_step_021716_ah_10_pr_checkpoint_sweep_20260528_151706
v022,7032,2.0,0,20,0.0,0.0,0.16113012549493322,96,1/8 subsample (96 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v022/eval_sessions/chkpt_step_007032_ah_10_pr_checkpoint_sweep_20260528_152733
v022,14064,4.0,2,20,0.1,0.027865893984153206,0.30103820641179335,96,1/8 subsample (96 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v022/eval_sessions/chkpt_step_014064_ah_10_pr_checkpoint_sweep_20260528_153941
v022,21096,6.0,1,20,0.05,0.008881219432873136,0.23613589351256675,96,1/8 subsample (96 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v022/eval_sessions/chkpt_step_021096_ah_10_pr_checkpoint_sweep_20260528_154843
v022,28128,8.0,4,20,0.2,0.0806563532712,0.41602172202575993,96,1/8 subsample (96 ep),recorded_session,True,/home/may33/projects/ml_portfolio/robotics/vbti/experiments/duck_cup_smolvla/v022/eval_sessions/chkpt_step_028128_ah_10_pr_checkpoint_sweep_20260528_162706
