sweep,label,n_trials,success_rate,collision_rate,timeout_rate,mean_final_dist_m,noise_type,magnitude,sigma_m,sr_empty,sr_corridor,sr_obstacle_field,sigma_deg,bias_m,reloc_every_ticks,between_fix_mode,pos_sigma_m
E1,pos_gauss/sigma=0m,24,0.9583,0.0,0.0417,0.2973,pos_gauss,0 m,0.0,1.0,0.875,1.0,,,,,
E1,pos_gauss/sigma=0.02m,24,1.0,0.0,0.0,0.2402,pos_gauss,0.02 m,0.02,1.0,1.0,1.0,,,,,
E1,pos_gauss/sigma=0.05m,24,1.0,0.0,0.0,0.2337,pos_gauss,0.05 m,0.05,1.0,1.0,1.0,,,,,
E1,pos_gauss/sigma=0.1m,24,1.0,0.0,0.0,0.2343,pos_gauss,0.1 m,0.1,1.0,1.0,1.0,,,,,
E1,pos_gauss/sigma=0.2m,24,0.9583,0.0417,0.0,0.4218,pos_gauss,0.2 m,0.2,1.0,1.0,0.875,,,,,
E1,pos_gauss/sigma=0.4m,24,0.9167,0.0833,0.0,0.3564,pos_gauss,0.4 m,0.4,1.0,0.75,1.0,,,,,
E1,yaw_gauss/sigma=0deg,24,0.9583,0.0,0.0417,0.3141,yaw_gauss,0 deg,,1.0,0.875,1.0,0.0,,,,
E1,yaw_gauss/sigma=1deg,24,0.9167,0.0,0.0833,0.5333,yaw_gauss,1 deg,,1.0,0.875,0.875,1.0,,,,
E1,yaw_gauss/sigma=2deg,24,0.875,0.0,0.125,0.4541,yaw_gauss,2 deg,,1.0,0.75,0.875,2.0,,,,
E1,yaw_gauss/sigma=5deg,24,1.0,0.0,0.0,0.2402,yaw_gauss,5 deg,,1.0,1.0,1.0,5.0,,,,
E1,yaw_gauss/sigma=10deg,24,1.0,0.0,0.0,0.2388,yaw_gauss,10 deg,,1.0,1.0,1.0,10.0,,,,
E1,yaw_gauss/sigma=20deg,24,0.8333,0.0,0.1667,0.4939,yaw_gauss,20 deg,,1.0,0.625,0.875,20.0,,,,
E1,pos_bias/0m,24,0.9583,0.0,0.0417,0.2903,pos_bias,0 m,,1.0,0.875,1.0,,0.0,,,
E1,pos_bias/0.05m,24,1.0,0.0,0.0,0.24,pos_bias,0.05 m,,1.0,1.0,1.0,,0.05,,,
E1,pos_bias/0.1m,24,0.875,0.0,0.125,0.2993,pos_bias,0.1 m,,1.0,0.875,0.75,,0.1,,,
E1,pos_bias/0.2m,24,0.4167,0.0,0.5833,0.3908,pos_bias,0.2 m,,0.5,0.5,0.25,,0.2,,,
E2,hold/k=1,24,1.0,0.0,0.0,0.2389,,,,1.0,1.0,1.0,,,1,hold,0.05
E2,hold/k=2,24,1.0,0.0,0.0,0.2325,,,,1.0,1.0,1.0,,,2,hold,0.05
E2,hold/k=5,24,1.0,0.0,0.0,0.23,,,,1.0,1.0,1.0,,,5,hold,0.05
E2,hold/k=10,24,0.9583,0.0417,0.0,0.2895,,,,1.0,1.0,0.875,,,10,hold,0.05
E2,hold/k=20,24,0.2083,0.5833,0.2083,2.5832,,,,0.375,0.0,0.25,,,20,hold,0.05
E2,hold/k=50,24,0.0833,0.9167,0.0,1.9052,,,,0.125,0.125,0.0,,,50,hold,0.05
E2,dead_reckon/k=1,24,1.0,0.0,0.0,0.2403,,,,1.0,1.0,1.0,,,1,dead_reckon,0.05
E2,dead_reckon/k=2,24,1.0,0.0,0.0,0.2363,,,,1.0,1.0,1.0,,,2,dead_reckon,0.05
E2,dead_reckon/k=5,24,1.0,0.0,0.0,0.2387,,,,1.0,1.0,1.0,,,5,dead_reckon,0.05
E2,dead_reckon/k=10,24,1.0,0.0,0.0,0.2382,,,,1.0,1.0,1.0,,,10,dead_reckon,0.05
E2,dead_reckon/k=20,24,1.0,0.0,0.0,0.2374,,,,1.0,1.0,1.0,,,20,dead_reckon,0.05
E2,dead_reckon/k=50,24,1.0,0.0,0.0,0.2349,,,,1.0,1.0,1.0,,,50,dead_reckon,0.05
